,jaenan_sn,address_si,address_gu,address_dong,call_d,call_t,Address,Address2_x,Address3_x,Address4_x,Address2_y,Address3_y,Address4_y,Freq,Location,latitude,longitude,Branch Name,Latitude,Longitude
0,WP1139549467,서울특별시,용산구,동자동,20220225,754,"서울특별시, 용산구, 동자동","서울특별시, 용산구",용산구,서울특별시,"서울특별시, 용산구",용산구,서울특별시,5,"(37.55112, 126.97251)",37.55112,126.97251,중구,37.5535,126.9874
1,WS1140007651,서울특별시,용산구,동자동,20220512,1024,"서울특별시, 용산구, 동자동","서울특별시, 용산구",용산구,서울특별시,"서울특별시, 용산구",용산구,서울특별시,5,"(37.55112, 126.97251)",37.55112,126.97251,중구,37.5535,126.9874
2,WS1140039140,서울특별시,용산구,동자동,20220518,852,"서울특별시, 용산구, 동자동","서울특별시, 용산구",용산구,서울특별시,"서울특별시, 용산구",용산구,서울특별시,5,"(37.55112, 126.97251)",37.55112,126.97251,중구,37.5535,126.9874
3,WQ1139589102,서울특별시,용산구,동자동,20220302,2357,"서울특별시, 용산구, 동자동","서울특별시, 용산구",용산구,서울특별시,"서울특별시, 용산구",용산구,서울특별시,5,"(37.55112, 126.97251)",37.55112,126.97251,중구,37.5535,126.9874
4,WP1139444655,서울특별시,용산구,동자동,20220205,1706,"서울특별시, 용산구, 동자동","서울특별시, 용산구",용산구,서울특별시,"서울특별시, 용산구",용산구,서울특별시,5,"(37.55112, 126.97251)",37.55112,126.97251,중구,37.5535,126.9874
5,WR1139910268,서울특별시,중구,예장동,20220423,1540,"서울특별시, 중구, 예장동","서울특별시, 중구",중구,서울특별시,"서울특별시, 중구",중구,서울특별시,1,"(37.55492, 126.98941)",37.55492,126.98941,중구,37.5535,126.9874
6,WR1139819013,서울특별시,종로구,종로5가,20220406,1156,"서울특별시, 종로구, 종로5가","서울특별시, 종로구",종로구,서울특별시,"서울특별시, 종로구",종로구,서울특별시,1,"(37.5709867, 127.0020222)",37.5709867,127.0020222,중구,37.5535,126.9874
7,WT1140240681,서울특별시,종로구,관수동,20220623,1919,"서울특별시, 종로구, 관수동","서울특별시, 종로구",종로구,서울특별시,"서울특별시, 종로구",종로구,서울특별시,1,"(37.5688, 126.99018)",37.5688,126.99018,중구,37.5535,126.9874
8,WP1139444094,서울특별시,종로구,종로6가,20220205,1512,"서울특별시, 종로구, 종로6가","서울특별시, 종로구",종로구,서울특별시,"서울특별시, 종로구",종로구,서울특별시,1,"(37.57174, 127.00681)",37.57174,127.00681,중구,37.5535,126.9874
9,WO1139292689,서울특별시,종로구,창신동,20220105,832,"서울특별시, 종로구, 창신동","서울특별시, 종로구",종로구,서울특별시,"서울특별시, 종로구",종로구,서울특별시,7,"(37.57595, 127.01313)",37.57595,127.01313,중구,37.5535,126.9874
10,WQ1139735194,서울특별시,종로구,창신동,20220323,1037,"서울특별시, 종로구, 창신동","서울특별시, 종로구",종로구,서울특별시,"서울특별시, 종로구",종로구,서울특별시,7,"(37.57595, 127.01313)",37.57595,127.01313,중구,37.5535,126.9874
11,WP1139541919,서울특별시,종로구,창신동,20220223,2326,"서울특별시, 종로구, 창신동","서울특별시, 종로구",종로구,서울특별시,"서울특별시, 종로구",종로구,서울특별시,7,"(37.57595, 127.01313)",37.57595,127.01313,중구,37.5535,126.9874
12,WR1139883441,서울특별시,종로구,창신동,20220418,927,"서울특별시, 종로구, 창신동","서울특별시, 종로구",종로구,서울특별시,"서울특별시, 종로구",종로구,서울특별시,7,"(37.57595, 127.01313)",37.57595,127.01313,중구,37.5535,126.9874
13,WS1140026010,서울특별시,종로구,창신동,20220515,1751,"서울특별시, 종로구, 창신동","서울특별시, 종로구",종로구,서울특별시,"서울특별시, 종로구",종로구,서울특별시,7,"(37.57595, 127.01313)",37.57595,127.01313,중구,37.5535,126.9874
14,WQ1139781106,서울특별시,종로구,창신동,20220330,1738,"서울특별시, 종로구, 창신동","서울특별시, 종로구",종로구,서울특별시,"서울특별시, 종로구",종로구,서울특별시,7,"(37.57595, 127.01313)",37.57595,127.01313,중구,37.5535,126.9874
15,WQ1139737066,서울특별시,종로구,창신동,20220323,1736,"서울특별시, 종로구, 창신동","서울특별시, 종로구",종로구,서울특별시,"서울특별시, 종로구",종로구,서울특별시,7,"(37.57595, 127.01313)",37.57595,127.01313,중구,37.5535,126.9874
16,WS1140019981,서울특별시,중구,신당동,20220514,1557,"서울특별시, 중구, 신당동","서울특별시, 중구",중구,서울특별시,"서울특별시, 중구",중구,서울특별시,18,"(37.565196900000004, 127.01321661206495)",37.5651969,127.0132166,중구,37.5535,126.9874
17,WR1139815739,서울특별시,중구,신당동,20220405,1926,"서울특별시, 중구, 신당동","서울특별시, 중구",중구,서울특별시,"서울특별시, 중구",중구,서울특별시,18,"(37.565196900000004, 127.01321661206495)",37.5651969,127.0132166,중구,37.5535,126.9874
18,WO1139413530,서울특별시,중구,신당동,20220131,858,"서울특별시, 중구, 신당동","서울특별시, 중구",중구,서울특별시,"서울특별시, 중구",중구,서울특별시,18,"(37.565196900000004, 127.01321661206495)",37.5651969,127.0132166,중구,37.5535,126.9874
19,WO1139314108,서울특별시,중구,신당동,20220110,218,"서울특별시, 중구, 신당동","서울특별시, 중구",중구,서울특별시,"서울특별시, 중구",중구,서울특별시,18,"(37.565196900000004, 127.01321661206495)",37.5651969,127.0132166,중구,37.5535,126.9874
20,WT1140214959,서울특별시,중구,신당동,20220619,1317,"서울특별시, 중구, 신당동","서울특별시, 중구",중구,서울특별시,"서울특별시, 중구",중구,서울특별시,18,"(37.565196900000004, 127.01321661206495)",37.5651969,127.0132166,중구,37.5535,126.9874
21,WR1139794763,서울특별시,중구,신당동,20220402,306,"서울특별시, 중구, 신당동","서울특별시, 중구",중구,서울특별시,"서울특별시, 중구",중구,서울특별시,18,"(37.565196900000004, 127.01321661206495)",37.5651969,127.0132166,중구,37.5535,126.9874
22,WR1139806912,서울특별시,중구,신당동,20220404,812,"서울특별시, 중구, 신당동","서울특별시, 중구",중구,서울특별시,"서울특별시, 중구",중구,서울특별시,18,"(37.565196900000004, 127.01321661206495)",37.5651969,127.0132166,중구,37.5535,126.9874
23,WR1139870397,서울특별시,중구,신당동,20220415,1912,"서울특별시, 중구, 신당동","서울특별시, 중구",중구,서울특별시,"서울특별시, 중구",중구,서울특별시,18,"(37.565196900000004, 127.01321661206495)",37.5651969,127.0132166,중구,37.5535,126.9874
